"Bore no","Name","Bore report","Yield (L/s)","Completion date","Drilled depth (m)","Completion depth (m)","Depth to water (m) at date of drilling","Purpose","Construction","Status","Latitude","Longitude","UTM zone","Easting","Northing","Position accuracy","Water data portal"
"RN003808","Investigation Bore Willowra",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN003808,0,1963-06-08 00:00:00.0,28,0,0,"Investigation","Backfilled","Historical",-21.427472,132.620192,53,253328,7628669,"Estimated",
"RN003806","X14 BRUNETTE DOWNS STN",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN003806,3.9,1963-06-09 00:00:00.0,92.9,92.9,64.6,"Production","Constructed&Capped","Current",-18.313958,136.085893,53,614756,7974737,"GPS",
"RN003807","Investigation Bore Willowra",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN003807,0,1963-06-07 00:00:00.0,25.9,0,0,"Investigation","Backfilled","Historical",-21.399501,132.62161,53,253428,7631769,"Estimated",
"RN003797","Advice 3/2 1st Attempt Robbies Bore Ooratippra Station",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN003797,0.7,1962-04-01 00:00:00.0,152.4,0,0,"Production",,"Current",-21.863594,136.433535,53,648123,7581581,"GPS",
"RN003798","DR. ABBOTTS. BILLALUNA S/R 42K N/W OF SANGSTERS RN 3799",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN003798,1.3,1962-12-10 00:00:00.0,36.6,36.6,21.3,"Production",,"Current",-20.745527,129.983706,52,602412,7705704,"GPS",
"RN003799","SANGSTERS S/R BORE NOT USED 42K ENE OF DR ABBOTTS RN 37",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN003799,2.5,1963-01-01 00:00:00.0,15.5,0,0,"Production",,"Current",-20.833857,130.350327,52,640502,7695651,"GPS",
"RN003800","MCFARLANE PEAK BORE  NOT USED 2K S/E OF RN 14177&5K NTH",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN003800,,,54.9,0,,"Unknown",,"Current",-20.365528,129.351445,52,536678,7748029,"GPS",
"RN003801","PEDESTAL HILL NO.2 TRY 8K S/E OF NO1 TRY  NO TRACE",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN003801,0.2,,76.5,0,,"Production","Abandoned","Historical",-20.580384,129.294892,52,530733,7724264,"Estimated",
"RN003802","PEDESTAL HILL NO.3 TRY 8K S/E OF NO1 TRY  NO TRACE",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN003802,,,39.6,0,,"Unknown",,"Current",-20.574905,129.326544,52,534033,7724864,"Estimated",
"RN003803","A34/1 MT CAMPBELL (BRIDGED 31M 22.5K N/W OF WODALLA RN",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN003803,1.3,1962-05-26 00:00:00.0,70.1,0,0,"Production",,"Current",-21.791521,131.883579,52,798170,7587461,"GPS",
"RN003805","NO 4A AVON DOWNS STN",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN003805,3.12,1963-06-01 00:00:00.0,127.4,127.4,42.6,"Production","Constructed&Capped","Current",-19.632974,137.282713,53,739382,7827530,"GPS",
"RN003818","A9/2 2ND ATT.GEORGINA GAP DUD 2.8KM (W) GEORGINA GAP.N/",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN003818,0,1963-04-04 00:00:00.0,5.8,0,0,"Production",,"Current",-23.416742,134.296513,53,428128,7410170,"Estimated",
"RN003819","INVEST.NO.1 LIVINGSTONE GAP DOCKER RIVER     DUD",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN003819,2.3,1963-05-28 00:00:00.0,35.7,0,0,"Investigation",,"Current",-24.89058,129.100333,52,510133,7247164,"Estimated",
"RN003817","Y34 DRY DUD NO TRACE 220M EAST OF Y33 RN 3816",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN003817,0,1963-06-17 00:00:00.0,4.6,0,0,"Investigation","Casing Pulled/Filled","Historical",-22.254432,131.812607,52,789883,7536315,"Estimated",
"RN 43229","Calvert Hills Station, Savannah Way Hwy NT Parcel 668",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN 43229,0.5,2022-10-05 00:00:00.0,42,43,,,"Constructed&Capped","Current",-17.33149,137.121009,53,725409,8082530,"GPS",
"RN000001","REPL. GILLENS BORE=YAMBAH",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN000001,0.4,1956-04-17 00:00:00.0,98.6,98.6,44.8,"Production","Abandoned","Historical",-23.085224,133.676756,53,364469,7446432,"GPS",
"RN000002","ALICE WELL BORE N.S.S.R. 30KM (SSE) OF HOMESTEAD.",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN000002,2.5,1956-09-21 00:00:00.0,24.4,0,11.6,"Production","Abandoned","Historical",-24.892428,134.228993,53,422129,7246743,"GPS",
"RN000003","FRANCIS WELL BORE No2. 1.3KM (S) OF H/STEAD OPP WELL.",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN000003,1.2,1956-09-18 00:00:00.0,30.5,0,15.2,"Production","Abandoned","Historical",-24.682155,134.072466,53,406161,7269929,"GPS",
"RN000004","ALUMBARA 2ND ATT. [ABD] 7M (E) OF RN11172.",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN000004,,1956-03-27 00:00:00.0,53.4,0,,"Production","Abandoned","Historical",-23.170349,131.623098,52,768546,7435203,"GPS",
"RN000005","ALLUMBUARA NO TRACE 10/5/93 32KM (W) OF PAPUNYA.",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN000005,,1956-01-01 00:00:00.0,63.1,0,,"Production","No Trace","Historical",-23.185148,131.622283,52,768433,7433565,"Estimated",
"RN000006","EKREKARA [PROD-ABD] 8KM (SE) OF PAPUNYA. FIVE MILE",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN000006,1.5,1956-03-07 00:00:00.0,54.9,0,45.7,"Production","Abandoned","Historical",-23.230027,131.981546,52,805129,7427883,"GPS",
"RN000007","NO 2 [PROD-USE] NEXT TO RN5370 (MON) PAPUNYA.",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN000007,3,1956-04-03 00:00:00.0,55.5,0,41.2,"Production","Equipped-Electrical","Current",-23.206912,131.912344,52,798094,7430588,"GPS",
"RN003809","Investigation Bore Dud Willowra",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN003809,0,1963-06-11 00:00:00.0,25.9,0,0,"Investigation","Backfilled","Historical",-21.45543,132.617809,53,253128,7625569,"Estimated",
"RN000008","DDH 2 BULMAN",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN000008,,,124.5,0,,"Production","Constructed&Capped","Current",-13.665229,134.334503,53,428028,8489199,"GPS",
"RN003810","Investigation Bore Willowra",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN003810,0,1963-06-13 00:00:00.0,15.2,0,0,"Investigation","Backfilled","Historical",-21.454306,132.602395,53,251528,7625669,"Estimated",
"RN003811","CONNELLS LAGOON QUAR.NO.2 CONNELLS LAGOON",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN003811,1.5,1963-06-07 00:00:00.0,76.2,76.2,64.9,"Production","Constructed&Capped","Current",-18.805439,136.516167,53,659776,7920019,"Estimated",
"RN003812","Y29 10'6"DRY DUD NOT SEEN N/E CORNER H/PDK. DENNISON RD",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN003812,0,1963-06-14 00:00:00.0,3.2,0,0,"Investigation","Casing Pulled/Filled","Historical",-22.25053,131.803317,52,788933,7536765,"Estimated",
"RN003813","Y30 16FT DRY DUD NO TRACE N/E CORNER HORSE PDK",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN003813,0,1963-06-14 00:00:00.0,4.9,0,0,"Investigation","Casing Pulled/Filled","Historical",-22.247823,131.803263,52,788933,7537065,"Estimated",
"RN003814","Y31 21FT DRY DUD NO TRACE 44O M FROM Y30 TOWARDS HILL ?",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN003814,0,1963-06-15 00:00:00.0,6.4,0,0,"Investigation","Casing Pulled/Filled","Historical",-22.246018,131.803227,52,788933,7537265,"Estimated",
"RN003815","Y32 32FT DRY DUD NO TRACE APX 2K NTH OF YUENDUMU ???",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN003815,0,1963-06-15 00:00:00.0,9.8,0,0,"Investigation","Casing Pulled/Filled","Historical",-22.243311,131.803173,52,788933,7537565,"Estimated",
"RN003816","Y33 DRY DUD NO TRACE [19FT] 400M NTH OF Y18 RN 3572",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN003816,0,1963-06-17 00:00:00.0,5.8,0,0,"Investigation","Casing Pulled/Filled","Historical",-22.254933,131.809708,52,789583,7536265,"Estimated",
"RN003829","X16 BRUNETTE DOWNS STN",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN003829,2.6,1963-06-27 00:00:00.0,137.1,137.1,44.1,"Production","Constructed&Capped","Current",-18.75967,135.880124,53,592768,7925535,"GPS",
"RN003830","X17 BRUNETTE DOWNS STN",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN003830,4.68,1963-06-28 00:00:00.0,45.7,45.7,31.6,"Production","Constructed&Capped","Current",-18.831512,135.760961,53,580173,7917643,"GPS",
"RN003831","A56/1 1ST ATT. JOPITA BOND SPRINGS",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN003831,0.1,1963-06-13 00:00:00.0,111.3,0,0,"Production",,"Current",-23.436988,133.772714,53,374628,7407570,"Surveyed",
"RN001046","N02 1ATT 70FT SALT DUD     N/S APX 2K STH OF NO2 RN 104",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN001046,0,1951-10-19 00:00:00.0,21.3,0,0,"Production",,"Current",-22.758583,136.727086,53,677327,7482171,"Estimated",
"RN003820","BEN CREEK BORE [22 MILE] BUNDA STN.",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN003820,2.27,1963-06-15 00:00:00.0,44.8,44.8,0,"Production","Windmill","Current",-18.117735,129.43002,52,545493,7996736,"GPS",
"RN003821","A48/1 2ATT 200FT 0.03LPS N/T 9 FURLONGS EAST OF H/STEAD",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN003821,0.1,1963-02-18 00:00:00.0,61,0,0,"Production",,"Current",-23.04768,134.698645,53,469127,7451170,"Estimated",
"RN003823","X15 BRUNETTE DOWNS STN",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN003823,3.5,1963-06-15 00:00:00.0,82.2,82.2,65.5,"Production","Equipped","Current",-18.342019,136.242454,53,631282,7971526,"GPS",
"RN003824","INVESTIGATION NO.2 DOCKER RIVER PETERMANN RANGE",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN003824,1.5,1963-06-21 00:00:00.0,63.4,0,0,"Investigation",,"Current",-24.835507,129.070598,52,507134,7253264,"Estimated",
"RN003825","OAKES L=AD S=286",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN003825,0,1963-03-12 00:00:00.0,29.6,26.5,3,"Production","Constructed&Capped","Current",-12.485438,131.031628,52,720800,8618920,"GPS",
"RN003826","A1/12 GIDGIE 62FT DRY DUD N/T NEAR MILL RN 3827 GIDGIE",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN003826,0,1963-06-11 00:00:00.0,18.9,0,0,"Production",,"Current",-22.917598,136.11291,53,614127,7465170,"Estimated",
"RN003827","A1/12 2ATT GIDYEA BORE 3.2K N/W OF HOMESTEAD",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN003827,0.9,1963-06-28 00:00:00.0,62.2,0,0,"Production",,"Current",-22.928034,136.118729,53,614715,7464011,"GPS",
"RN003828","NO.17 REPLACEMENT 10km (SW) OF RN4056.",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN003828,3,1963-06-17 00:00:00.0,63.7,0,58.5,"Production","Abandoned","Historical",-20.234751,137.567178,53,768209,7760462,"GPS",
"RN003839","NO.28 BORE BROKEN HILL V.R.D. STATION",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN003839,0,1963-05-27 00:00:00.0,182.9,182.9,0,"Production",,"Current",-16.070669,131.272722,52,743131,8221912,"Estimated",
"RN003840","NO.27 BORE 1ST ATTEMPT V.R.D. STATION",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN003840,0,1963-06-04 00:00:00.0,147.5,147.5,0,"Production",,"Current",-16.06177,131.46461,52,763681,8222662,"Estimated",
"RN003841","NO.27 BORE 2ND ATTEMPT V.R.D. STATION",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN003841,0.28,1963-06-17 00:00:00.0,182.9,182.9,0,"Production",,"Current",-16.061243,131.471143,52,764381,8222712,"Estimated",
"RN003842","NO.1 BORE HAYES CREEK",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN003842,1.25,1963-07-29 00:00:00.0,85.1,85.1,0,"Production","Equipped","Current",-13.585315,131.461107,52,766320,8496791,"Estimated",
"RN001059","BROOKS DENISON WELL 250M STH OF BROOKS SOAK",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN001059,,,24.5,0,,"Production",,"Current",-22.097244,132.312462,53,222706,7553962,"GPS",
"RN001057","NO2 1ATT 200M SEEPAGE DUD 10K WEST OF PIN UP RN 4834",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN001057,0.1,1952-02-29 00:00:00.0,182.9,0,0,"Production",,"Current",-22.806712,136.818418,53,686641,7476729,"GPS",
"RN001055","NO1 LUCKY BORE(CAS PULLED U/S) 11.7K STH WEST OF MULGA",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN001055,0,1952-01-22 00:00:00.0,79.9,0,0,"Production",,"Current",-22.890658,136.863667,53,691169,7467375,"GPS",
"RN001054","NAVEL ACTION WELL  UNUSED 10K NNE OF BROOKS WELL RN 10",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN001054,0,1950-01-01 00:00:00.0,12.5,0,0,"Production",,"Current",-22.062415,132.344897,53,225987,7557879,"GPS",
"RN001053","HAMBURGER NWSR 90M DUD N/TRACE HAMBURGER DAM AREA.",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN001053,0,1952-01-11 00:00:00.0,83.8,0,0,"Production",,"Current",-23.494602,133.346162,53,331120,7400754,"Estimated",
"RN001052","Home of Bullion Bore Dud Neutral Junction Station",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN001052,0,1952-01-10 00:00:00.0,21.6,0,0,"Unknown","No Trace","Historical",-21.482942,134.161409,53,413127,7624170,"Estimated",
"RN001050","AGRICULTURAL AREA 2nd ATT. ALICE SPRINGS.",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN001050,,1952-01-22 00:00:00.0,71,0,,"Unknown",,"Current",-23.720702,133.885362,53,386381,7376250,"Estimated",
"RN001049","AGRICULTURAL AREA 1st ATT. ALICE SPRINGS.",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN001049,,1951-12-10 00:00:00.0,45.7,0,,"Unknown",,"Current",-23.720574,133.876398,53,385467,7376257,"Estimated",
"RN001048","AERODROME.SEEPAGE DUD TENNANT CREEK AERODROME N/TRC",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN001048,0.1,1951-11-30 00:00:00.0,93,0,0,"Unknown",,"Current",-19.637983,134.17941,53,413965,7828372,"Estimated",
"RN001047","NO2 2ND ATT            MILL 13.6K STH WEST OF HOMESTEAD",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN001047,1.1,1951-11-06 00:00:00.0,85.7,0,0,"Production",,"Current",-22.742395,136.736668,53,678332,7483952,"GPS",
"RN003832","HOMESTEAD MILL BORE  NOT USED APX 800M (N) OF HOMESTEAD",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN003832,0.3,1963-04-14 00:00:00.0,30.2,0,17.3,"Production","Constructed&Capped","Current",-20.444099,135.264758,53,527617,7739351,"GPS",
"RN003833","X5 BRUNETTE DOWNS STN",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN003833,1.37,1963-04-17 00:00:00.0,128,128,32,"Production","Equipped","Current",-18.652446,135.576206,53,560771,7937530,"GPS",
"RN003834","X18 BRUNETTE DOWNS STN",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN003834,4.7,1963-07-04 00:00:00.0,59.4,59.4,40.5,"Production","Constructed&Capped","Current",-19.005056,136.076354,53,613288,7898267,"GPS",
"RN003835","A65/1 BRUMBY BORE       MILL 9K S/E OF C/CK BORE RN 130",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN003835,1.3,1963-07-12 00:00:00.0,42.4,0,0,"Production",,"Current",-23.54516,132.981855,53,293988,7394679,"GPS",
"RN003836","A1/7 2ATT H/STEAD 480GPH DUD 16M WEST OF HORSE YARDS",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN003836,0.6,1963-07-14 00:00:00.0,54.2,0,0,"Production",,"Current",-22.950746,136.140851,53,616964,7461479,"GPS",
"RN003837","NO1 OIL BORE(FOROSAL) 401M APX 9K NTH WEST OF HOMESTEAD",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN003837,,,400.8,0,,"Production","Abandoned","Historical",-20.909982,137.856337,53,797126,7685170,"Estimated",
"RN003838","NO 33 3RD ATTEMPT VICTORIA RIVER DOWNS STN",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN003838,0,1963-05-23 00:00:00.0,182.9,182.9,0,"Production",,"Current",-16.261342,131.225335,52,737831,8200862,"Estimated",
"RN001056","UCHARONIDGE BORE NO 2 UCHARONIDGE HOMESTEAD 1/2 MILE",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN001056,1.89,1950-02-01 00:00:00.0,85.3,85.3,71.3,"Production","Equipped","Current",-17.796527,134.252041,53,420727,8032168,"Estimated",
"RN003849","NUMBULWAR",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN003849,,,0,0,,"Unknown",,"Current",-14.278414,135.73914,53,579725,8421355,"Estimated",
"RN003850","GARDEN BORE ROPER VALLEY STN.",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN003850,,,0,0,,"Unknown",,"Current",-14.929217,134.009057,53,393427,8349266,"Estimated",
"RN003851","AIRSTRIP NO. 5 1ST ATT. ROPER VALLEY STN.",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN003851,0.63,1963-06-14 00:00:00.0,94.5,0,6.1,"Unknown",,"Current",-14.917169,134.045835,53,397377,8350616,"Estimated",
"RN003852","AIRSTRIP NO.5 2ND ATT. ROPER VALLEY STN.",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN003852,,,0,0,,"Unknown",,"Current",-14.917205,134.045835,53,397377,8350612,"Estimated",
"RN003853","FLYING FOX NO.2 ROPER VALLEY STN.",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN003853,0.8,1963-07-24 00:00:00.0,109.7,109.7,30.5,"Production","Constructed&Capped","Current",-14.617102,134.183158,53,412026,8383865,"Estimated",
"RN001072","NO.2 BORE 6km (SW) OF RN13720.",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN001072,0.1,1952-09-29 00:00:00.0,96.6,0,0,"Production",,"Current",-21.395298,135.004833,53,500501,7634103,"Estimated",
"RN001071","LANDERANDERA NO2 (MAYNARD'S) 11km (SE) OF HOMESTEAD.",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN001071,0.1,1952-09-09 00:00:00.0,253,0,0,"Production",,"Current",-21.760039,136.726081,53,678485,7592736,"Estimated",
"RN001070","COOLIBAH NO. 5 WALLHALLOW STN.",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN001070,0,1952-08-05 00:00:00.0,91.7,91.7,0,"Production","Constructed&Capped","Current",-17.665491,135.795845,53,584410,8046645,"GPS",
"RN001069","NO3 JERVOIS S/R 550FT SEEPAGE BELIVE NEAR MILL RN 581",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN001069,0.1,1952-08-05 00:00:00.0,167.6,0,0,"Production",,"Current",-22.662173,136.629337,53,667406,7492960,"GPS",
"RN001068","No 2nd ATT. ABD 920M (WSW) OF PIONEER MINE.",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN001068,0,1952-08-05 00:00:00.0,48.8,0,0,"Production",,"Current",-20.884153,135.166398,53,517307,7690664,"Estimated",
"RN001067","8 MILE BORE WALLHALLOW STN.",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN001067,0,1952-06-30 00:00:00.0,83.5,83.5,0,"Production","Constructed&Capped","Current",-17.448826,135.782234,53,583065,8070623,"GPS",
"RN001065","PADDOCK BORE        (U/S MILL) 4K SOUTH OF HOMESTEAD",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN001065,0.2,1955-01-01 00:00:00.0,35,0,0,"Production",,"Current",-23.067143,134.674195,53,466627,7449010,"GPS",
"RN001064","NO2 2ATT 169M SALT DUD     N/S APX 2.5K STH OF NO2 RN 1",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN001064,0,1952-05-14 00:00:00.0,169.2,0,0,"Production",,"Current",-22.763066,136.730064,53,677627,7481671,"Estimated",
"RN001063","PLAYFORD DEPOT ALROY DOWNS STN",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN001063,0,1952-05-09 00:00:00.0,36.5,36.5,0,"Production",,"Current",-19.200704,136.392449,53,646390,7876380,"Estimated",
"RN001062","OLD JERVOIS MINE STOCK (U/S) 200M NTH OF OLD WASH PLANT",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN001062,0,1950-01-01 00:00:00.0,0,0,0,"Production",,"Current",-22.645644,136.265596,53,630044,7495153,"GPS",
"RN001060","KANANDRA NO2 JERVOIS S/R. 25M EAST OF MILL RN 3253",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN001060,0,1952-04-01 00:00:00.0,45.7,0,0,"Production",,"Current",-22.865823,135.026694,53,502738,7471333,"GPS",
"RN003843","AMOONGUNA NO.49 EMILY GAP S/ROUTE.",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN003843,3.7,1963-07-03 00:00:00.0,60.4,0,0,"Investigation",,"Current",-23.750584,133.94807,53,392798,7372990,"Surveyed",
"RN003844","AMOONGUNA NO.50 1"WATER PIPE 75 YDS SW OF NO 49",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN003844,0.9,1963-07-10 00:00:00.0,73.2,0,0,"Investigation",,"Current",-23.751212,133.947378,53,392728,7372920,"Surveyed",
"RN003845","AMOONGUNA NO.51 1"WATER PIPE 100 YDS WEST OF NO 49",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN003845,1.5,1963-07-12 00:00:00.0,60.4,0,0,"Investigation",,"Current",-23.750665,133.946696,53,392658,7372980,"Surveyed",
"RN003846","BYNOE ROAD S=1856 T/O BYNOE & MIDDLE ARM RD",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN003846,,,0,0,,"Unknown",,"Current",-12.661078,131.038717,52,721420,8599480,"Surveyed",
"RN003847","NO 38 VICTORIA RIVER DOWNS STN",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN003847,6,1963-07-02 00:00:00.0,43.6,43.6,11,"Production",,"Current",-16.734916,131.095859,52,723443,8148592,"GPS",
"RN003848","U.A.R. AGRIC. BR.EXPT. FARM TORTILLA FLATS",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN003848,1.5,1963-08-03 00:00:00.0,26.2,26.2,10.4,"Production","Constructed&Capped","Current",-13.079148,131.139627,52,731999,8553131,"Estimated",
"RN003860","Y35 DRY DUD NOT LOOKED FOR 91M E & 5.6K S OF PENHALLS",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN003860,0,1963-06-19 00:00:00.0,18.3,0,0,"Investigation","Casing Pulled/Filled","Historical",-22.354458,131.764684,52,784738,7525325,"Estimated",
"RN003861","Y36 DRY DUD NO TRACE 800M WEEST OF KERRIDY W/HOLE",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN003861,0,1963-06-20 00:00:00.0,22.3,0,0,"Investigation","Casing Pulled/Filled","Historical",-22.40412,131.73831,52,781920,7519873,"Estimated",
"RN003862","YUENDUMU RIDGE 1ST ATT SALT"D" 400M W KERRIDY W/HOLE NO",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN003862,0.5,1963-08-13 00:00:00.0,70.1,0,29.2,"Investigation","Abandoned","Historical",-22.404087,131.747192,52,782835,7519860,"Estimated",
"RN003863","A5/2 2ND ATT ABD 22.4KM (NW) OF HOMESTEAD.",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN003863,0.1,1963-07-20 00:00:00.0,61,0,0,"Production",,"Current",-23.209058,134.634654,53,462617,7433290,"Estimated",
"RN003864","Investigation Bore Willowra",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN003864,0,1963-07-11 00:00:00.0,18.9,0,0,"Investigation","Backfilled","Historical",-21.343368,132.610951,53,252228,7637969,"Estimated",
"RN003865","Investigation Bore Willowra",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN003865,0,1963-07-13 00:00:00.0,20.4,0,0,"Investigation","Backfilled","Historical",-21.343162,132.596497,53,250728,7637969,"Estimated",
"RN001085","BORE NO2 3RD ATTEMPT CAMFIELD STATION",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN001085,0.06,1956-10-28 00:00:00.0,14,0,9.1,"Production",,"Current",-17.118575,131.356923,52,750779,8105809,"GPS",
"RN001084","N02 2ATT 14M SEEPAGE DUD  N/T APX 1K NNW OF EPSOMS RN 1",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN001084,0.1,1953-06-29 00:00:00.0,13.7,0,0,"Production",,"Current",-23.131569,135.483451,53,549497,7441833,"Estimated",
"RN001083","NO.3 AREYONGA",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN001083,0,1953-06-23 00:00:00.0,57.3,0,0,"Production","Abandoned","Historical",-24.068451,132.268949,53,222298,7335494,"Estimated",
"RN001082","NO2 1ATT 37FT DUD   NO TRACE ??NEAR MIRROR FINNISH DAM",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN001082,0,1953-06-23 00:00:00.0,11.3,0,0,"Production",,"Current",-23.148055,135.474465,53,548571,7440011,"Estimated",
"RN001080","HARTS RANGE HARTS RANGE POLICE STN.",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN001080,0,1953-06-09 00:00:00.0,94.5,0,0,"Production",,"Current",-23.000981,134.93684,53,493527,7456370,"Estimated",
"RN001079","NO.32 SEYMOURS BORE 11km (SE) OF RN2115.",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN001079,3.5,1956-04-18 00:00:00.0,68.6,0,0,"Production",,"Current",-21.431662,137.623945,53,771982,7627801,"Estimated",
"RN001078","St Marys Bore",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN001078,3.8,1953-04-16 00:00:00.0,33.5,0,0,"Production",,"Current",-23.748453,133.873716,53,385218,7373168,"GPS",
"RN001077","WEST NO 2 ABSALOMS",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN001077,,,0,0,,"Unknown",,"Current",-22.595457,134.742824,53,473566,7501239,"GPS",
"RN001076","EXPLORATION.6"CAS 2K STH EAST OF PEDLAR T/OFF",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN001076,0,1992-01-01 00:00:00.0,31,0,0,"Investigation",,"Current",-23.981686,135.13235,53,513463,7347795,"GPS",
