"Bore no","Name","Bore report","Yield (L/s)","Completion date","Drilled depth (m)","Completion depth (m)","Depth to water (m) at date of drilling","Purpose","Construction","Status","Latitude","Longitude","UTM zone","Easting","Northing","Position accuracy","Water data portal"
"RN004760","DUD VICTORIA RIVER DOWNS STN",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN004760,,,0,0,,"Unknown","Backfilled","Historical",-16.875053,131.112393,52,725041,8133063,"Estimated",
"RN004761","NO.4 LEGUNE STN.",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN004761,,1963-08-07 00:00:00.0,15.5,15.5,,"Unknown",,"Current",-15.16708,129.366133,52,539331,8323161,"Estimated",
"RN004762","ISADORE MONTEJINNI STN",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN004762,,,18.3,18.3,,"Production","Constructed&Capped","Current",-16.754252,131.360583,52,751653,8146136,"GPS",
"RN004763","MCCALLUM MONTEJINNI STN",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN004763,,,15.6,15.6,,"Production","Constructed&Capped","Current",-16.837225,131.467851,52,762980,8136811,"GPS",
"RN004764","WINARI MONTEJINNI STN",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN004764,,,10.7,10.7,,"Production","Constructed&Capped","Current",-16.817397,131.644374,52,781831,8138763,"Estimated",
"RN004777","A5/15 1st ATT. 1.2 km (N) OF SPRIGGS CREEK.",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN004777,0.1,1965-01-28 00:00:00.0,106.7,0,0,"Production",,"Current",-23.096775,135.090904,53,509309,7445764,"Estimated",
"RN004778","NO13. 4th ATT. 5 mts (N) OF AMOONGUNA NO5.",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN004778,2.2,1965-03-23 00:00:00.0,167.6,0,0,"Unknown",,"Current",-23.786385,133.927074,53,390688,7369011,"Surveyed",
"RN004776","NO8. A92/4 lst ATT. 13KM (S) OF RN4716.",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN004776,1.2,1972-01-24 00:00:00.0,99.1,0,0,"Production",,"Current",-21.390012,136.924699,53,699535,7633465,"Estimated",
"RN004768","SHEP YARD BORE CAMFIELD  S.T.N.",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN004768,,,0,0,,"Unknown",,"Current",-17.113083,131.356065,52,750695,8106418,"Estimated",
"RN004769","BULL PADDOCK CAMFIELD STN",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN004769,,,0,0,,"Production",,"Current",-16.931711,131.351861,52,750489,8126502,"GPS",
"RN004770","BENHAVEN BORE  1ST  ATT. AGRICULTURAL RESEARCH FARM",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN004770,0.6,1965-02-11 00:00:00.0,36.3,0,19.5,"Unknown","Backfilled","Historical",-13.068883,131.200202,52,738580,8554211,"Estimated",
"RN004771","WR 65/1 BEATRICE HILL",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN004771,1.5,1965-02-11 00:00:00.0,31.9,18.9,3.4,"Production","Constructed&Capped","Current",-12.651726,131.319879,52,751980,8600260,"Estimated",
"RN004772","NO.1 2ND ATT. NATIVE RESERVE GROOTE EYLANDT",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN004772,,,0,0,,"Unknown",,"Current",-13.858066,136.420185,53,653475,8467515,"Estimated",
"RN004773","BULL CREEK KILLARNEY STN",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN004773,0.25,1965-01-25 00:00:00.0,36.9,36.9,0,"Production",,"Current",-16.275488,131.852986,52,804931,8198462,"Estimated",
"RN004774","NO 1 L=M S=290 H.BAGOT",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN004774,0,1965-03-02 00:00:00.0,30.5,30.5,1.5,"Production","Constructed&Capped","Current",-12.503713,131.035241,52,721177,8616895,"GPS",
