"Bore no","Name","Bore report","Yield (L/s)","Completion date","Drilled depth (m)","Completion depth (m)","Depth to water (m) at date of drilling","Purpose","Construction","Status","Latitude","Longitude","UTM zone","Easting","Northing","Position accuracy","Water data portal"
"RN015042","TI-TREE CAMP DRAFT BORE 200M (NE) OF TI-TREE SCHOOL.",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN015042,0.5,1987-08-17 00:00:00.0,12.2,0,0,"Production",,"Current",-22.12695,133.420786,53,337123,7552276,"GPS",
"RN013463","WRB INV OBS 2"GWP 1K WEST OF ROADS RN 13523",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN013463,6,1982-08-25 00:00:00.0,83.7,0,0,"Investigation",,"Current",-22.683902,133.774161,53,374077,7490952,"GPS",
"RN014556","Kahl Farm Lot 1998 Production Bore Ti Tree",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN014556,10,1985-08-26 00:00:00.0,60,0,0,"Production",,"Current",-22.244992,133.420545,53,337234,7539206,"GPS",
"RN013464","WRB INV OBS 2"PVC& 8"STEEL 750M SOUTH OF RN 13523",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN013464,2,1982-08-26 00:00:00.0,156.9,0,0,"Investigation",,"Current",-22.689896,133.788532,53,375559,7490300,"Surveyed",
"RN013461","Ti Tree Area",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN013461,8,1982-08-23 00:00:00.0,51,51,0,"Monitoring","Constructed&Capped","Current",-22.222341,133.435572,53,338757,7541730,"GPS",https://ntg.aquaticinformatics.net/AQWebportal/Data/Location/Summary/Location/RN013461/Interval/Latest
"RN013462","Ti Tree Area",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN013462,3,1982-08-23 00:00:00.0,60.7,57,0,"Monitoring","Constructed&Capped","Current",-22.255769,133.443196,53,339581,7538037,"GPS",https://ntg.aquaticinformatics.net/AQWebportal/Data/Location/Summary/Location/RN013462/Interval/Latest
"RN014555","ALOOLYA DUPLICATE 50M (S) OF ALOOLYA BORE.",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN014555,7.6,1985-08-24 00:00:00.0,120,0,0,"Production",,"Current",-22.319191,133.237492,53,318462,7530782,"Estimated",
"RN003016","A4/1 5M DRY DUD            N/T OLD HOMESTEAD AREA",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN003016,0,1962-08-02 00:00:00.0,5.2,0,0,"Production",,"Current",-22.904178,133.924966,53,389747,7466685,"Estimated",
"RN016149","Bullocky Soak Replacement Bore Anningie Station",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN016149,1.3,1992-01-01 00:00:00.0,36.6,36.6,18.3,"Production","Equipped-Diesel","Current",-21.934315,133.525829,53,347753,7573712,"GPS",
"RN017418","Woodgreen Station",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN017418,7.1,2000-07-29 00:00:00.0,71.3,61.6,31.02,"Monitoring","Constructed&Capped","Current",-22.570508,133.898756,53,386784,7503606,"GPS",
