file_name,location_name,lat,lon
RN005626 - DBG FV.csv,"""Site 1 - Depth Below Ground Field Visit Data""",-22.163176,133.441561
RN005626 - WE FV.csv,"""Site 1 - WE Field Visit Data""",-22.163176,134.441561
RN006543 - DBG FV.csv,"""Site 2 - Depth Below Ground Field Visit Data""",-22.23014,133.401658
